period,TRX,JST,WBTT,WIN,NFT
20210611-20210618,22555106.14,22610000.0,48551446.370000005,127663578.14,67995882979.78001
20210618-20210625,22555106.14,21301000.0,48551446.370000005,127663578.14,67995882979.78001
20210625-20210702,22555106.14,21301000.0,48551446.370000005,127663578.14,67995882979.78001
20210702-20210709,22555106.14,21301000.0,48551446.370000005,127663578.14,67995882979.78001
20210709-20210716,25015078.27,20944000.0,48551446.370000005,127663578.14,67995882979.78001
20210716-20210723,25015078.27,20944000.0,48551446.370000005,127663578.14,67995882979.78001
20210723-20210730,25015078.27,20944000.0,48551446.370000005,127663578.14,67995882979.78001
20210730-20210806,25015078.27,20944000.0,48551446.370000005,127663578.14,67995882979.78001
20210806-20210813,20089781.67,22253000.0,48551446.370000005,127663578.14,67995882979.78001
20210813-20210820,20089781.67,23562000.0,48551446.370000005,127663578.14,67995882979.78001
20210820-20210827,20089781.67,23562000.0,48551446.370000005,127663578.14,67995882979.78001
20210827-20210903,20089781.67,23562000.0,48551446.370000005,127663578.14,67995882979.78001
20210903-20210910,10151853.39,16847474.21,36313399.29,87184882.61,54184554762.59
20210910-20210917,10151853.39,16847474.21,36313399.29,87184882.61,54184554762.59
20210917-20210924,10151853.39,16847474.21,36313399.29,87184882.61,54184554762.59
20210924-20211001,10151853.39,16847474.21,36313399.29,87184882.61,54184554762.59
20211001-20211008,10151853.39,16847474.21,36313399.29,87184882.61,54184554762.59
20211008-20211015,10151853.39,16847474.21,36313399.29,87184882.61,54184554762.59
20211015-20211022,10151853.39,16847474.21,36313399.29,87184882.61,54184554762.59
20211022-20211029,10151853.39,16847474.21,36313399.29,87184882.61,54184554762.59
20211029-20211105,10151853.39,16847474.21,36313399.29,87184882.61,54184554762.59
20211105-20211112,0.0,12593063.0,0.0,0.0,0.0
